,ProjectID,Products,Work Location_x,Work Flexibility_x,Languages Required,EmployeeID,Products Experience,Work Location_y,Work Flexibility_y,Languages Known,Product Match Score,Location Match Score,Language Match Score
0,P1,['Print20.'],Vienna,hybrid,"{'French': 'B1', 'nEglish': 'A2', 'tIalian': 'B1', 'German': 'C2'}",E1,['Print2.0'],Vienna,hybrid,"{'Italian': 'C1', 'German': 'B1', 'English': 'A2', 'French': 'B1'}",1,1,0.88
1,P1,['Print20.'],Vienna,hybrid,"{'French': 'B1', 'nEglish': 'A2', 'tIalian': 'B1', 'German': 'C2'}",E2,"['AIScan', 'Print2.0', 'Workflow2000']",Berlin,onsite,{'English': 'A2'},1,0,0.25
2,P1,['Print20.'],Vienna,hybrid,"{'French': 'B1', 'nEglish': 'A2', 'tIalian': 'B1', 'German': 'C2'}",E3,"['Workflow2000', 'Print2.0', 'AIScan']",London,onsite,"{'Italian': 'B1', 'French': 'C1', 'English': 'A2', 'German': 'C2'}",1,0,1
3,P1,['Print20.'],Vienna,hybrid,"{'French': 'B1', 'nEglish': 'A2', 'tIalian': 'B1', 'German': 'C2'}",E4,"['Workflow2000', 'AIScan']",Berlin,remote,"{'French': 'B1', 'German': 'B2'}",0,0,0.42
4,P1,['Print20.'],Vienna,hybrid,"{'French': 'B1', 'nEglish': 'A2', 'tIalian': 'B1', 'German': 'C2'}",E5,"['Workflow2000', 'Print2.0']",London,onsite,"{'German': 'B1', 'Italian': 'C1'}",1,0,0.38
5,P1,['Print20.'],Vienna,hybrid,"{'French': 'B1', 'nEglish': 'A2', 'tIalian': 'B1', 'German': 'C2'}",E6,"['Print2.0', 'Workflow2000', 'AIScan']",London,hybrid,{'French': 'B1'},1,0,0.25
6,P1,['Print20.'],Vienna,hybrid,"{'French': 'B1', 'nEglish': 'A2', 'tIalian': 'B1', 'German': 'C2'}",E7,['Workflow2000'],Berlin,remote,"{'Italian': 'C2', 'English': 'A1', 'German': 'B1', 'French': 'A1'}",0,0,0.75
7,P1,['Print20.'],Vienna,hybrid,"{'French': 'B1', 'nEglish': 'A2', 'tIalian': 'B1', 'German': 'C2'}",E8,"['Print2.0', 'Workflow2000']",Berlin,onsite,"{'German': 'C1', 'Italian': 'B1'}",1,0,0.46
8,P1,['Print20.'],Vienna,hybrid,"{'French': 'B1', 'nEglish': 'A2', 'tIalian': 'B1', 'German': 'C2'}",E9,"['AIScan', 'Print2.0', 'Workflow2000']",Berlin,remote,"{'French': 'B1', 'Italian': 'B2'}",1,0,0.5
9,P1,['Print20.'],Vienna,hybrid,"{'French': 'B1', 'nEglish': 'A2', 'tIalian': 'B1', 'German': 'C2'}",E10,"['Print2.0', 'Workflow2000', 'AIScan']",Berlin,remote,"{'Italian': 'A1', 'French': 'B2', 'English': 'A1', 'German': 'B1'}",1,0,0.75
10,P2,"['AIcSan', 'Print2.0']",Vienan,onsite,"{'Geramn': 'A1', 'English': 'A2', 'French': 'A1', 'Italian': 'A1'}",E1,['Print2.0'],Vienna,hybrid,"{'Italian': 'C1', 'German': 'B1', 'English': 'A2', 'French': 'B1'}",0.5,0.5,1
11,P2,"['AIcSan', 'Print2.0']",Vienan,onsite,"{'Geramn': 'A1', 'English': 'A2', 'French': 'A1', 'Italian': 'A1'}",E2,"['AIScan', 'Print2.0', 'Workflow2000']",Berlin,onsite,{'English': 'A2'},1,0,0.25
12,P2,"['AIcSan', 'Print2.0']",Vienan,onsite,"{'Geramn': 'A1', 'English': 'A2', 'French': 'A1', 'Italian': 'A1'}",E3,"['Workflow2000', 'Print2.0', 'AIScan']",London,onsite,"{'Italian': 'B1', 'French': 'C1', 'English': 'A2', 'German': 'C2'}",1,0,1
13,P2,"['AIcSan', 'Print2.0']",Vienan,onsite,"{'Geramn': 'A1', 'English': 'A2', 'French': 'A1', 'Italian': 'A1'}",E4,"['Workflow2000', 'AIScan']",Berlin,remote,"{'French': 'B1', 'German': 'B2'}",0.5,0,0.5
14,P2,"['AIcSan', 'Print2.0']",Vienan,onsite,"{'Geramn': 'A1', 'English': 'A2', 'French': 'A1', 'Italian': 'A1'}",E5,"['Workflow2000', 'Print2.0']",London,onsite,"{'German': 'B1', 'Italian': 'C1'}",0.5,0,0.5
15,P2,"['AIcSan', 'Print2.0']",Vienan,onsite,"{'Geramn': 'A1', 'English': 'A2', 'French': 'A1', 'Italian': 'A1'}",E6,"['Print2.0', 'Workflow2000', 'AIScan']",London,hybrid,{'French': 'B1'},1,0,0.25
16,P2,"['AIcSan', 'Print2.0']",Vienan,onsite,"{'Geramn': 'A1', 'English': 'A2', 'French': 'A1', 'Italian': 'A1'}",E7,['Workflow2000'],Berlin,remote,"{'Italian': 'C2', 'English': 'A1', 'German': 'B1', 'French': 'A1'}",0,0,0.96
17,P2,"['AIcSan', 'Print2.0']",Vienan,onsite,"{'Geramn': 'A1', 'English': 'A2', 'French': 'A1', 'Italian': 'A1'}",E8,"['Print2.0', 'Workflow2000']",Berlin,onsite,"{'German': 'C1', 'Italian': 'B1'}",0.5,0,0.5
18,P2,"['AIcSan', 'Print2.0']",Vienan,onsite,"{'Geramn': 'A1', 'English': 'A2', 'French': 'A1', 'Italian': 'A1'}",E9,"['AIScan', 'Print2.0', 'Workflow2000']",Berlin,remote,"{'French': 'B1', 'Italian': 'B2'}",1,0,0.5
19,P2,"['AIcSan', 'Print2.0']",Vienan,onsite,"{'Geramn': 'A1', 'English': 'A2', 'French': 'A1', 'Italian': 'A1'}",E10,"['Print2.0', 'Workflow2000', 'AIScan']",Berlin,remote,"{'Italian': 'A1', 'French': 'B2', 'English': 'A1', 'German': 'B1'}",1,0,0.96
20,P3,['Print2.0'],Vienna,remote,"{'French': 'A1', 'Italian': 'C2'}",E1,['Print2.0'],Vienna,hybrid,"{'Italian': 'C1', 'German': 'B1', 'English': 'A2', 'French': 'B1'}",1,1,0.92
21,P3,['Print2.0'],Vienna,remote,"{'French': 'A1', 'Italian': 'C2'}",E2,"['AIScan', 'Print2.0', 'Workflow2000']",Berlin,onsite,{'English': 'A2'},1,1,0
22,P3,['Print2.0'],Vienna,remote,"{'French': 'A1', 'Italian': 'C2'}",E3,"['Workflow2000', 'Print2.0', 'AIScan']",London,onsite,"{'Italian': 'B1', 'French': 'C1', 'English': 'A2', 'German': 'C2'}",1,1,0.75
23,P3,['Print2.0'],Vienna,remote,"{'French': 'A1', 'Italian': 'C2'}",E4,"['Workflow2000', 'AIScan']",Berlin,remote,"{'French': 'B1', 'German': 'B2'}",0,1,0.5
24,P3,['Print2.0'],Vienna,remote,"{'French': 'A1', 'Italian': 'C2'}",E5,"['Workflow2000', 'Print2.0']",London,onsite,"{'German': 'B1', 'Italian': 'C1'}",1,1,0.42
25,P3,['Print2.0'],Vienna,remote,"{'French': 'A1', 'Italian': 'C2'}",E6,"['Print2.0', 'Workflow2000', 'AIScan']",London,hybrid,{'French': 'B1'},1,1,0.5
26,P3,['Print2.0'],Vienna,remote,"{'French': 'A1', 'Italian': 'C2'}",E7,['Workflow2000'],Berlin,remote,"{'Italian': 'C2', 'English': 'A1', 'German': 'B1', 'French': 'A1'}",0,1,1
27,P3,['Print2.0'],Vienna,remote,"{'French': 'A1', 'Italian': 'C2'}",E8,"['Print2.0', 'Workflow2000']",Berlin,onsite,"{'German': 'C1', 'Italian': 'B1'}",1,1,0.25
28,P3,['Print2.0'],Vienna,remote,"{'French': 'A1', 'Italian': 'C2'}",E9,"['AIScan', 'Print2.0', 'Workflow2000']",Berlin,remote,"{'French': 'B1', 'Italian': 'B2'}",1,1,0.83
29,P3,['Print2.0'],Vienna,remote,"{'French': 'A1', 'Italian': 'C2'}",E10,"['Print2.0', 'Workflow2000', 'AIScan']",Berlin,remote,"{'Italian': 'A1', 'French': 'B2', 'English': 'A1', 'German': 'B1'}",1,1,0.58
30,P4,"['AIScan', 'oWrkflow2000', 'Print2.0']",eBrlin,hybrid,"{'English': 'B1', 'Itlaian': 'B2', 'Germna': 'B2', 'rFench': 'C2'}",E1,['Print2.0'],Vienna,hybrid,"{'Italian': 'C1', 'German': 'B1', 'English': 'A2', 'French': 'B1'}",0.33,0,0.79
31,P4,"['AIScan', 'oWrkflow2000', 'Print2.0']",eBrlin,hybrid,"{'English': 'B1', 'Itlaian': 'B2', 'Germna': 'B2', 'rFench': 'C2'}",E2,"['AIScan', 'Print2.0', 'Workflow2000']",Berlin,onsite,{'English': 'A2'},1,1,0.21
32,P4,"['AIScan', 'oWrkflow2000', 'Print2.0']",eBrlin,hybrid,"{'English': 'B1', 'Itlaian': 'B2', 'Germna': 'B2', 'rFench': 'C2'}",E3,"['Workflow2000', 'Print2.0', 'AIScan']",London,onsite,"{'Italian': 'B1', 'French': 'C1', 'English': 'A2', 'German': 'C2'}",1,0,0.88
33,P4,"['AIScan', 'oWrkflow2000', 'Print2.0']",eBrlin,hybrid,"{'English': 'B1', 'Itlaian': 'B2', 'Germna': 'B2', 'rFench': 'C2'}",E4,"['Workflow2000', 'AIScan']",Berlin,remote,"{'French': 'B1', 'German': 'B2'}",0.67,0.5,0.38
34,P4,"['AIScan', 'oWrkflow2000', 'Print2.0']",eBrlin,hybrid,"{'English': 'B1', 'Itlaian': 'B2', 'Germna': 'B2', 'rFench': 'C2'}",E5,"['Workflow2000', 'Print2.0']",London,onsite,"{'German': 'B1', 'Italian': 'C1'}",0.67,0,0.46
35,P4,"['AIScan', 'oWrkflow2000', 'Print2.0']",eBrlin,hybrid,"{'English': 'B1', 'Itlaian': 'B2', 'Germna': 'B2', 'rFench': 'C2'}",E6,"['Print2.0', 'Workflow2000', 'AIScan']",London,hybrid,{'French': 'B1'},1,0,0.12
36,P4,"['AIScan', 'oWrkflow2000', 'Print2.0']",eBrlin,hybrid,"{'English': 'B1', 'Itlaian': 'B2', 'Germna': 'B2', 'rFench': 'C2'}",E7,['Workflow2000'],Berlin,remote,"{'Italian': 'C2', 'English': 'A1', 'German': 'B1', 'French': 'A1'}",0.33,0.5,0.67
37,P4,"['AIScan', 'oWrkflow2000', 'Print2.0']",eBrlin,hybrid,"{'English': 'B1', 'Itlaian': 'B2', 'Germna': 'B2', 'rFench': 'C2'}",E8,"['Print2.0', 'Workflow2000']",Berlin,onsite,"{'German': 'C1', 'Italian': 'B1'}",0.67,1,0.46
38,P4,"['AIScan', 'oWrkflow2000', 'Print2.0']",eBrlin,hybrid,"{'English': 'B1', 'Itlaian': 'B2', 'Germna': 'B2', 'rFench': 'C2'}",E9,"['AIScan', 'Print2.0', 'Workflow2000']",Berlin,remote,"{'French': 'B1', 'Italian': 'B2'}",1,0.5,0.38
39,P4,"['AIScan', 'oWrkflow2000', 'Print2.0']",eBrlin,hybrid,"{'English': 'B1', 'Itlaian': 'B2', 'Germna': 'B2', 'rFench': 'C2'}",E10,"['Print2.0', 'Workflow2000', 'AIScan']",Berlin,remote,"{'Italian': 'A1', 'French': 'B2', 'English': 'A1', 'German': 'B1'}",1,0.5,0.67
40,P5,['Workflow2000'],Brelin,remote,"{'French': 'A2', 'Gemran': 'A1', 'Italian': 'A2', 'English': 'C2'}",E1,['Print2.0'],Vienna,hybrid,"{'Italian': 'C1', 'German': 'B1', 'English': 'A2', 'French': 'B1'}",0,1,0.83
41,P5,['Workflow2000'],Brelin,remote,"{'French': 'A2', 'Gemran': 'A1', 'Italian': 'A2', 'English': 'C2'}",E2,"['AIScan', 'Print2.0', 'Workflow2000']",Berlin,onsite,{'English': 'A2'},1,1,0.08
42,P5,['Workflow2000'],Brelin,remote,"{'French': 'A2', 'Gemran': 'A1', 'Italian': 'A2', 'English': 'C2'}",E3,"['Workflow2000', 'Print2.0', 'AIScan']",London,onsite,"{'Italian': 'B1', 'French': 'C1', 'English': 'A2', 'German': 'C2'}",1,1,0.83
43,P5,['Workflow2000'],Brelin,remote,"{'French': 'A2', 'Gemran': 'A1', 'Italian': 'A2', 'English': 'C2'}",E4,"['Workflow2000', 'AIScan']",Berlin,remote,"{'French': 'B1', 'German': 'B2'}",1,1,0.5
44,P5,['Workflow2000'],Brelin,remote,"{'French': 'A2', 'Gemran': 'A1', 'Italian': 'A2', 'English': 'C2'}",E5,"['Workflow2000', 'Print2.0']",London,onsite,"{'German': 'B1', 'Italian': 'C1'}",1,1,0.5
45,P5,['Workflow2000'],Brelin,remote,"{'French': 'A2', 'Gemran': 'A1', 'Italian': 'A2', 'English': 'C2'}",E6,"['Print2.0', 'Workflow2000', 'AIScan']",London,hybrid,{'French': 'B1'},1,1,0.25
46,P5,['Workflow2000'],Brelin,remote,"{'French': 'A2', 'Gemran': 'A1', 'Italian': 'A2', 'English': 'C2'}",E7,['Workflow2000'],Berlin,remote,"{'Italian': 'C2', 'English': 'A1', 'German': 'B1', 'French': 'A1'}",1,1,0.75
47,P5,['Workflow2000'],Brelin,remote,"{'French': 'A2', 'Gemran': 'A1', 'Italian': 'A2', 'English': 'C2'}",E8,"['Print2.0', 'Workflow2000']",Berlin,onsite,"{'German': 'C1', 'Italian': 'B1'}",1,1,0.5
48,P5,['Workflow2000'],Brelin,remote,"{'French': 'A2', 'Gemran': 'A1', 'Italian': 'A2', 'English': 'C2'}",E9,"['AIScan', 'Print2.0', 'Workflow2000']",Berlin,remote,"{'French': 'B1', 'Italian': 'B2'}",1,1,0.5
49,P5,['Workflow2000'],Brelin,remote,"{'French': 'A2', 'Gemran': 'A1', 'Italian': 'A2', 'English': 'C2'}",E10,"['Print2.0', 'Workflow2000', 'AIScan']",Berlin,remote,"{'Italian': 'A1', 'French': 'B2', 'English': 'A1', 'German': 'B1'}",1,1,0.75
50,P6,"['Wokrflow2000', 'Prnit2.0']",Berlin,onsite,"{'French': 'C2', 'Italian': 'B1', 'German': 'B1', 'Enlgish': 'C1'}",E1,['Print2.0'],Vienna,hybrid,"{'Italian': 'C1', 'German': 'B1', 'English': 'A2', 'French': 'B1'}",0.5,0,0.75
51,P6,"['Wokrflow2000', 'Prnit2.0']",Berlin,onsite,"{'French': 'C2', 'Italian': 'B1', 'German': 'B1', 'Enlgish': 'C1'}",E2,"['AIScan', 'Print2.0', 'Workflow2000']",Berlin,onsite,{'English': 'A2'},1,1,0.12
52,P6,"['Wokrflow2000', 'Prnit2.0']",Berlin,onsite,"{'French': 'C2', 'Italian': 'B1', 'German': 'B1', 'Enlgish': 'C1'}",E3,"['Workflow2000', 'Print2.0', 'AIScan']",London,onsite,"{'Italian': 'B1', 'French': 'C1', 'English': 'A2', 'German': 'C2'}",1,0,0.83
53,P6,"['Wokrflow2000', 'Prnit2.0']",Berlin,onsite,"{'French': 'C2', 'Italian': 'B1', 'German': 'B1', 'Enlgish': 'C1'}",E4,"['Workflow2000', 'AIScan']",Berlin,remote,"{'French': 'B1', 'German': 'B2'}",0.5,0,0.38
54,P6,"['Wokrflow2000', 'Prnit2.0']",Berlin,onsite,"{'French': 'C2', 'Italian': 'B1', 'German': 'B1', 'Enlgish': 'C1'}",E5,"['Workflow2000', 'Print2.0']",London,onsite,"{'German': 'B1', 'Italian': 'C1'}",1,0,0.5
55,P6,"['Wokrflow2000', 'Prnit2.0']",Berlin,onsite,"{'French': 'C2', 'Italian': 'B1', 'German': 'B1', 'Enlgish': 'C1'}",E6,"['Print2.0', 'Workflow2000', 'AIScan']",London,hybrid,{'French': 'B1'},1,0,0.12
56,P6,"['Wokrflow2000', 'Prnit2.0']",Berlin,onsite,"{'French': 'C2', 'Italian': 'B1', 'German': 'B1', 'Enlgish': 'C1'}",E7,['Workflow2000'],Berlin,remote,"{'Italian': 'C2', 'English': 'A1', 'German': 'B1', 'French': 'A1'}",0.5,0,0.62
57,P6,"['Wokrflow2000', 'Prnit2.0']",Berlin,onsite,"{'French': 'C2', 'Italian': 'B1', 'German': 'B1', 'Enlgish': 'C1'}",E8,"['Print2.0', 'Workflow2000']",Berlin,onsite,"{'German': 'C1', 'Italian': 'B1'}",1,1,0.5
58,P6,"['Wokrflow2000', 'Prnit2.0']",Berlin,onsite,"{'French': 'C2', 'Italian': 'B1', 'German': 'B1', 'Enlgish': 'C1'}",E9,"['AIScan', 'Print2.0', 'Workflow2000']",Berlin,remote,"{'French': 'B1', 'Italian': 'B2'}",1,0,0.38
59,P6,"['Wokrflow2000', 'Prnit2.0']",Berlin,onsite,"{'French': 'C2', 'Italian': 'B1', 'German': 'B1', 'Enlgish': 'C1'}",E10,"['Print2.0', 'Workflow2000', 'AIScan']",Berlin,remote,"{'Italian': 'A1', 'French': 'B2', 'English': 'A1', 'German': 'B1'}",1,0,0.67
60,P7,"['Workfolw2000', 'AIScan', 'Pritn2.0']",Brelin,onsite,{'Italian': 'A2'},E1,['Print2.0'],Vienna,hybrid,"{'Italian': 'C1', 'German': 'B1', 'English': 'A2', 'French': 'B1'}",0.33,0,1
61,P7,"['Workfolw2000', 'AIScan', 'Pritn2.0']",Brelin,onsite,{'Italian': 'A2'},E2,"['AIScan', 'Print2.0', 'Workflow2000']",Berlin,onsite,{'English': 'A2'},1,1,0
62,P7,"['Workfolw2000', 'AIScan', 'Pritn2.0']",Brelin,onsite,{'Italian': 'A2'},E3,"['Workflow2000', 'Print2.0', 'AIScan']",London,onsite,"{'Italian': 'B1', 'French': 'C1', 'English': 'A2', 'German': 'C2'}",1,0,1
63,P7,"['Workfolw2000', 'AIScan', 'Pritn2.0']",Brelin,onsite,{'Italian': 'A2'},E4,"['Workflow2000', 'AIScan']",Berlin,remote,"{'French': 'B1', 'German': 'B2'}",0.67,0,0
64,P7,"['Workfolw2000', 'AIScan', 'Pritn2.0']",Brelin,onsite,{'Italian': 'A2'},E5,"['Workflow2000', 'Print2.0']",London,onsite,"{'German': 'B1', 'Italian': 'C1'}",0.67,0,1
65,P7,"['Workfolw2000', 'AIScan', 'Pritn2.0']",Brelin,onsite,{'Italian': 'A2'},E6,"['Print2.0', 'Workflow2000', 'AIScan']",London,hybrid,{'French': 'B1'},1,0,0
66,P7,"['Workfolw2000', 'AIScan', 'Pritn2.0']",Brelin,onsite,{'Italian': 'A2'},E7,['Workflow2000'],Berlin,remote,"{'Italian': 'C2', 'English': 'A1', 'German': 'B1', 'French': 'A1'}",0.33,0,1
67,P7,"['Workfolw2000', 'AIScan', 'Pritn2.0']",Brelin,onsite,{'Italian': 'A2'},E8,"['Print2.0', 'Workflow2000']",Berlin,onsite,"{'German': 'C1', 'Italian': 'B1'}",0.67,1,1
68,P7,"['Workfolw2000', 'AIScan', 'Pritn2.0']",Brelin,onsite,{'Italian': 'A2'},E9,"['AIScan', 'Print2.0', 'Workflow2000']",Berlin,remote,"{'French': 'B1', 'Italian': 'B2'}",1,0,1
69,P7,"['Workfolw2000', 'AIScan', 'Pritn2.0']",Brelin,onsite,{'Italian': 'A2'},E10,"['Print2.0', 'Workflow2000', 'AIScan']",Berlin,remote,"{'Italian': 'A1', 'French': 'B2', 'English': 'A1', 'German': 'B1'}",1,0,0.83
70,P8,"['Workflow2000', 'Print2.0']",Berlin,remote,{'Itailan': 'A2'},E1,['Print2.0'],Vienna,hybrid,"{'Italian': 'C1', 'German': 'B1', 'English': 'A2', 'French': 'B1'}",0.5,1,1
71,P8,"['Workflow2000', 'Print2.0']",Berlin,remote,{'Itailan': 'A2'},E2,"['AIScan', 'Print2.0', 'Workflow2000']",Berlin,onsite,{'English': 'A2'},1,1,0
72,P8,"['Workflow2000', 'Print2.0']",Berlin,remote,{'Itailan': 'A2'},E3,"['Workflow2000', 'Print2.0', 'AIScan']",London,onsite,"{'Italian': 'B1', 'French': 'C1', 'English': 'A2', 'German': 'C2'}",1,1,1
73,P8,"['Workflow2000', 'Print2.0']",Berlin,remote,{'Itailan': 'A2'},E4,"['Workflow2000', 'AIScan']",Berlin,remote,"{'French': 'B1', 'German': 'B2'}",0.5,1,0
74,P8,"['Workflow2000', 'Print2.0']",Berlin,remote,{'Itailan': 'A2'},E5,"['Workflow2000', 'Print2.0']",London,onsite,"{'German': 'B1', 'Italian': 'C1'}",1,1,1
75,P8,"['Workflow2000', 'Print2.0']",Berlin,remote,{'Itailan': 'A2'},E6,"['Print2.0', 'Workflow2000', 'AIScan']",London,hybrid,{'French': 'B1'},1,1,0
76,P8,"['Workflow2000', 'Print2.0']",Berlin,remote,{'Itailan': 'A2'},E7,['Workflow2000'],Berlin,remote,"{'Italian': 'C2', 'English': 'A1', 'German': 'B1', 'French': 'A1'}",0.5,1,1
77,P8,"['Workflow2000', 'Print2.0']",Berlin,remote,{'Itailan': 'A2'},E8,"['Print2.0', 'Workflow2000']",Berlin,onsite,"{'German': 'C1', 'Italian': 'B1'}",1,1,1
78,P8,"['Workflow2000', 'Print2.0']",Berlin,remote,{'Itailan': 'A2'},E9,"['AIScan', 'Print2.0', 'Workflow2000']",Berlin,remote,"{'French': 'B1', 'Italian': 'B2'}",1,1,1
79,P8,"['Workflow2000', 'Print2.0']",Berlin,remote,{'Itailan': 'A2'},E10,"['Print2.0', 'Workflow2000', 'AIScan']",Berlin,remote,"{'Italian': 'A1', 'French': 'B2', 'English': 'A1', 'German': 'B1'}",1,1,0.83
80,P9,"['Wokrflow2000', 'AIScna']",Vienna,hybrid,{'eGrman': 'B2'},E1,['Print2.0'],Vienna,hybrid,"{'Italian': 'C1', 'German': 'B1', 'English': 'A2', 'French': 'B1'}",0,1,0.83
81,P9,"['Wokrflow2000', 'AIScna']",Vienna,hybrid,{'eGrman': 'B2'},E2,"['AIScan', 'Print2.0', 'Workflow2000']",Berlin,onsite,{'English': 'A2'},1,0,0
82,P9,"['Wokrflow2000', 'AIScna']",Vienna,hybrid,{'eGrman': 'B2'},E3,"['Workflow2000', 'Print2.0', 'AIScan']",London,onsite,"{'Italian': 'B1', 'French': 'C1', 'English': 'A2', 'German': 'C2'}",1,0,1
83,P9,"['Wokrflow2000', 'AIScna']",Vienna,hybrid,{'eGrman': 'B2'},E4,"['Workflow2000', 'AIScan']",Berlin,remote,"{'French': 'B1', 'German': 'B2'}",1,0,1
84,P9,"['Wokrflow2000', 'AIScna']",Vienna,hybrid,{'eGrman': 'B2'},E5,"['Workflow2000', 'Print2.0']",London,onsite,"{'German': 'B1', 'Italian': 'C1'}",0.5,0,0.83
85,P9,"['Wokrflow2000', 'AIScna']",Vienna,hybrid,{'eGrman': 'B2'},E6,"['Print2.0', 'Workflow2000', 'AIScan']",London,hybrid,{'French': 'B1'},1,0,0
86,P9,"['Wokrflow2000', 'AIScna']",Vienna,hybrid,{'eGrman': 'B2'},E7,['Workflow2000'],Berlin,remote,"{'Italian': 'C2', 'English': 'A1', 'German': 'B1', 'French': 'A1'}",0.5,0,0.83
87,P9,"['Wokrflow2000', 'AIScna']",Vienna,hybrid,{'eGrman': 'B2'},E8,"['Print2.0', 'Workflow2000']",Berlin,onsite,"{'German': 'C1', 'Italian': 'B1'}",0.5,0,1
88,P9,"['Wokrflow2000', 'AIScna']",Vienna,hybrid,{'eGrman': 'B2'},E9,"['AIScan', 'Print2.0', 'Workflow2000']",Berlin,remote,"{'French': 'B1', 'Italian': 'B2'}",1,0,0
89,P9,"['Wokrflow2000', 'AIScna']",Vienna,hybrid,{'eGrman': 'B2'},E10,"['Print2.0', 'Workflow2000', 'AIScan']",Berlin,remote,"{'Italian': 'A1', 'French': 'B2', 'English': 'A1', 'German': 'B1'}",1,0,0.83
90,P10,"['Workflow2000', 'Print2.0']",Vinena,hybrid,"{'nEglish': 'C2', 'German': 'C1', 'Frecnh': 'A2', 'Italian': 'A1'}",E1,['Print2.0'],Vienna,hybrid,"{'Italian': 'C1', 'German': 'B1', 'English': 'A2', 'French': 'B1'}",0.5,1,0.75
91,P10,"['Workflow2000', 'Print2.0']",Vinena,hybrid,"{'nEglish': 'C2', 'German': 'C1', 'Frecnh': 'A2', 'Italian': 'A1'}",E2,"['AIScan', 'Print2.0', 'Workflow2000']",Berlin,onsite,{'English': 'A2'},1,0,0.08
92,P10,"['Workflow2000', 'Print2.0']",Vinena,hybrid,"{'nEglish': 'C2', 'German': 'C1', 'Frecnh': 'A2', 'Italian': 'A1'}",E3,"['Workflow2000', 'Print2.0', 'AIScan']",London,onsite,"{'Italian': 'B1', 'French': 'C1', 'English': 'A2', 'German': 'C2'}",1,0,0.83
93,P10,"['Workflow2000', 'Print2.0']",Vinena,hybrid,"{'nEglish': 'C2', 'German': 'C1', 'Frecnh': 'A2', 'Italian': 'A1'}",E4,"['Workflow2000', 'AIScan']",Berlin,remote,"{'French': 'B1', 'German': 'B2'}",0.5,0,0.46
94,P10,"['Workflow2000', 'Print2.0']",Vinena,hybrid,"{'nEglish': 'C2', 'German': 'C1', 'Frecnh': 'A2', 'Italian': 'A1'}",E5,"['Workflow2000', 'Print2.0']",London,onsite,"{'German': 'B1', 'Italian': 'C1'}",1,0,0.42
95,P10,"['Workflow2000', 'Print2.0']",Vinena,hybrid,"{'nEglish': 'C2', 'German': 'C1', 'Frecnh': 'A2', 'Italian': 'A1'}",E6,"['Print2.0', 'Workflow2000', 'AIScan']",London,hybrid,{'French': 'B1'},1,0,0.25
96,P10,"['Workflow2000', 'Print2.0']",Vinena,hybrid,"{'nEglish': 'C2', 'German': 'C1', 'Frecnh': 'A2', 'Italian': 'A1'}",E7,['Workflow2000'],Berlin,remote,"{'Italian': 'C2', 'English': 'A1', 'German': 'B1', 'French': 'A1'}",0.5,0,0.67
97,P10,"['Workflow2000', 'Print2.0']",Vinena,hybrid,"{'nEglish': 'C2', 'German': 'C1', 'Frecnh': 'A2', 'Italian': 'A1'}",E8,"['Print2.0', 'Workflow2000']",Berlin,onsite,"{'German': 'C1', 'Italian': 'B1'}",1,0,0.5
98,P10,"['Workflow2000', 'Print2.0']",Vinena,hybrid,"{'nEglish': 'C2', 'German': 'C1', 'Frecnh': 'A2', 'Italian': 'A1'}",E9,"['AIScan', 'Print2.0', 'Workflow2000']",Berlin,remote,"{'French': 'B1', 'Italian': 'B2'}",1,0,0.5
99,P10,"['Workflow2000', 'Print2.0']",Vinena,hybrid,"{'nEglish': 'C2', 'German': 'C1', 'Frecnh': 'A2', 'Italian': 'A1'}",E10,"['Print2.0', 'Workflow2000', 'AIScan']",Berlin,remote,"{'Italian': 'A1', 'French': 'B2', 'English': 'A1', 'German': 'B1'}",1,0,0.71
